[0.015s] Invoking command in '/home/logan/exos_new_ws/build/moveit_2': CMAKE_PREFIX_PATH=/home/logan/exos_new_ws/install/tongquan_sldasm:/home/logan/exos_new_ws/install/moveit_true:/home/logan/exos_new_ws/install/moveit_2:/home/logan/exos_new_ws/install/moveit:/home/logan/exos_new_ws/install/chan:/home/logan/exos_new_ws/install/control_exos /usr/bin/cmake --build /home/logan/exos_new_ws/build/moveit_2 -- -j12 -l12
[0.065s] Invoked command in '/home/logan/exos_new_ws/build/moveit_2' returned '0': CMAKE_PREFIX_PATH=/home/logan/exos_new_ws/install/tongquan_sldasm:/home/logan/exos_new_ws/install/moveit_true:/home/logan/exos_new_ws/install/moveit_2:/home/logan/exos_new_ws/install/moveit:/home/logan/exos_new_ws/install/chan:/home/logan/exos_new_ws/install/control_exos /usr/bin/cmake --build /home/logan/exos_new_ws/build/moveit_2 -- -j12 -l12
[0.095s] Invoking command in '/home/logan/exos_new_ws/build/moveit_2': CMAKE_PREFIX_PATH=/home/logan/exos_new_ws/install/tongquan_sldasm:/home/logan/exos_new_ws/install/moveit_true:/home/logan/exos_new_ws/install/moveit_2:/home/logan/exos_new_ws/install/moveit:/home/logan/exos_new_ws/install/chan:/home/logan/exos_new_ws/install/control_exos /usr/bin/cmake --install /home/logan/exos_new_ws/build/moveit_2
[0.110s] -- Install configuration: ""
[0.111s] -- Execute custom install script
[0.112s] -- Up-to-date symlink: /home/logan/exos_new_ws/install/moveit_2/share/ament_index/resource_index/package_run_dependencies/moveit_2
[0.112s] -- Up-to-date symlink: /home/logan/exos_new_ws/install/moveit_2/share/ament_index/resource_index/parent_prefix_path/moveit_2
[0.112s] -- Up-to-date symlink: /home/logan/exos_new_ws/install/moveit_2/share/moveit_2/environment/ament_prefix_path.sh
[0.113s] -- Up-to-date symlink: /home/logan/exos_new_ws/install/moveit_2/share/moveit_2/environment/ament_prefix_path.dsv
[0.113s] -- Up-to-date symlink: /home/logan/exos_new_ws/install/moveit_2/share/moveit_2/environment/path.sh
[0.113s] -- Up-to-date symlink: /home/logan/exos_new_ws/install/moveit_2/share/moveit_2/environment/path.dsv
[0.114s] -- Up-to-date symlink: /home/logan/exos_new_ws/install/moveit_2/share/moveit_2/local_setup.bash
[0.114s] -- Up-to-date symlink: /home/logan/exos_new_ws/install/moveit_2/share/moveit_2/local_setup.sh
[0.114s] -- Up-to-date symlink: /home/logan/exos_new_ws/install/moveit_2/share/moveit_2/local_setup.zsh
[0.115s] -- Up-to-date symlink: /home/logan/exos_new_ws/install/moveit_2/share/moveit_2/local_setup.dsv
[0.115s] -- Symlinking: /home/logan/exos_new_ws/install/moveit_2/share/moveit_2/package.dsv
[0.128s] -- Up-to-date symlink: /home/logan/exos_new_ws/install/moveit_2/share/ament_index/resource_index/packages/moveit_2
[0.128s] -- Up-to-date symlink: /home/logan/exos_new_ws/install/moveit_2/share/moveit_2/cmake/moveit_2Config.cmake
[0.129s] -- Up-to-date symlink: /home/logan/exos_new_ws/install/moveit_2/share/moveit_2/cmake/moveit_2Config-version.cmake
[0.129s] -- Up-to-date symlink: /home/logan/exos_new_ws/install/moveit_2/share/moveit_2/package.xml
[0.129s] -- Up-to-date symlink: /home/logan/exos_new_ws/install/moveit_2/share/moveit_2/launch/demo.launch.py
[0.129s] -- Up-to-date symlink: /home/logan/exos_new_ws/install/moveit_2/share/moveit_2/launch/move_group.launch.py
[0.130s] -- Up-to-date symlink: /home/logan/exos_new_ws/install/moveit_2/share/moveit_2/launch/moveit_rviz.launch.py
